,題目,A,B,C,D,答案
298,哪位角色的能力包括使用“天照”？,鳴人,佐助,宇智波鼬,自來也,C
299,誰在故事中曾經使用“地爆天星”？,佩恩,佐助,自來也,鳴人,A
300,誰擅長使用“火遁·火龍彈”？,佐助,自來也,卡卡西,干柿鬼鮫,B
301,哪位角色擁有“雷遁·雷切”能力？,奇拉比,佐助,鳴人,卡卡西,D
302,誰的血繼限界是“地爆天星”？,佩恩,大蛇丸,佐助,鳴人,A
303,哪位角色是“木葉村”的第四代火影？,自來也,波風湊,佐助,佩恩,B
304,誰的能力包括使用“木遁·木龍”？,千手柱間,卡卡西,佐助,自來也,A
305,誰曾經是“音忍四人眾”的成員之一？,香燐,佐助,自來也,佩恩,A
306,哪位角色擁有“白眼”？,井野,佐井,日向寧次,自來也,C
307,誰曾經使用“水遁·水龍彈”？,自來也,干柿鬼鮫,鳴人,佩恩,B
308,哪位角色的能力包括使用“天照”？,佩恩,自來也,宇智波鼬,佐助,C
309,誰在第四次忍界大戰中是“九尾”的宿主？,佐助,自來也,鳴人,奇拉比,C
310,誰是“木葉村”的第七班的成員之一？,綱手,佐助,鳴人,卡卡西,B
311,哪位角色的能力是“砂遁”？,鳴人,佐助,我愛羅,自來也,C
312,誰在故事中曾經使用“雷遁·雷切”？,佐助,鳴人,奇拉比,卡卡西,D
313,哪位角色擅長使用“螺旋手裡劍”？,鳴人,佐助,自來也,綱手,A
314,誰是木葉村的第六代火影？,綱手,佐助,自來也,卡卡西,D
315,哪位角色擁有“輪回眼”？,佩恩,佐助,鳴人,自來也,A
316,誰的能力包括使用“風遁·螺旋手裡劍”？,鳴人,佐助,自來也,綱手,A
317,誰在故事中擔任木葉村的火影？,佐助,自來也,綱手,鳴人,D
318,哪位角色的能力包括使用“千鳥”？,卡卡西,佐助,鳴人,自來也,A
319,誰是木葉村的第三代火影？,千手柱間,猿飛日斬,佐助,卡卡西,B
320,哪位角色擁有“天照”能力？,佩恩,佐助,自來也,宇智波鼬,D
321,誰曾經是“音忍”的主要成員？,香燐,佐助,自來也,鳴人,A
322,誰的能力包括使用“木遁”？,千手柱間,佩恩,佐助,自來也,A
323,哪位角色曾經是“根”組織的領導者？,団藏,佐助,鳴人,佩恩,A
324,誰在故事中擔任木葉村的第七班導師？,佐助,卡卡西,大蛇丸,綱手,B
325,哪位角色擁有“血繼限界”能力？,佐助,鳴人,自來也,井野,A
326,誰在第四次忍界大戰中成為了“九尾”的宿主？,鳴人,佐助,奇拉比,自來也,A
327,哪位角色擁有“寫輪眼”？,宇智波鼬,佐助,鳴人,自來也,A
328,誰的能力包括使用“砂遁”？,鳴人,佐助,我愛羅,卡卡西,C
329,誰在故事中最初使用了“輪回眼”？,佩恩,宇智波斑,佐助,鳴人,B
330,誰的能力包括使用“影分身”？,鳴人,佐助,大蛇丸,自來也,A
331,誰是木葉村的第六代火影？,綱手,佐助,卡卡西,鳴人,C
332,哪位角色曾經是“音忍四人眾”的成員之一？,香燐,大蛇丸,佐助,自來也,A
333,誰的能力包括使用“千手”？,千手柱間,佐助,鳴人,佩恩,A
334,哪位角色的能力是“血繼限界”？,佐助,鳴人,自來也,井野,A
335,誰在故事中使用了“火遁·豪火球之術”？,佐助,鳴人,自來也,卡卡西,D
336,哪位角色擅長使用“木遁”技術？,自來也,佐助,千手柱間,大蛇丸,C
337,誰在第四次忍界大戰中成為了“九尾”的宿主？,鳴人,佐助,自來也,奇拉比,A
338,誰的能力包括使用“雷遁·雷切”？,奇拉比,卡卡西,鳴人,佩恩,B
339,哪位角色的能力是“千鳥”？,鳴人,佐助,卡卡西,自來也,C
340,誰是木葉村的第三代火影？,千手柱間,猿飛日斬,佐助,卡卡西,B
341,哪位角色的能力包括使用“砂遁”？,佐助,鳴人,我愛羅,自來也,C
342,誰的能力包括使用“火遁·火龍彈”？,佐助,鳴人,自來也,卡卡西,C
343,誰在故事中擔任“砂忍”的領導者？,我愛羅,佐助,鳴人,大蛇丸,A
344,哪位角色擁有“輪回眼”？,鳴人,佐助,佩恩,自來也,C
345,誰的能力包括使用“千鳥”？,佐助,卡卡西,鳴人,自來也,B
346,哪位角色在故事中最早使用了“輪回眼”？,佩恩,宇智波斑,佐助,鳴人,B
347,誰是木葉村的第四代火影？,波風湊,猿飛日斬,千手柱間,綱手,A
348,誰的能力包括使用“木遁·木龍”？,鳴人,佐助,千手柱間,卡卡西,C
349,哪位角色在故事中使用了“天照”？,佩恩,自來也,宇智波鼬,佐助,C
350,誰在第四次忍界大戰中變成了“九尾”的宿主？,佐助,鳴人,奇拉比,大蛇丸,B
351,哪位角色擁有“寫輪眼”？,鳴人,佐助,宇智波鼬,自來也,C
352,誰在故事中使用了“砂遁·沙瀑”？,我愛羅,佐助,鳴人,卡卡西,A
353,哪位角色的能力包括使用“地爆天星”？,佩恩,自來也,佐助,鳴人,A
354,誰在故事中擔任木葉村的第七班導師？,佐助,鳴人,卡卡西,綱手,C
355,誰在故事中使用了“陰陽遁”？,佩恩,自來也,佐助,宇智波斑,D
356,哪位角色的能力是“水遁·水龍彈”？,自來也,鳴人,卡卡西,干柿鬼鮫,D
357,誰在第四次忍界大戰中與鳴人合作？,佐助,綱手,自來也,大蛇丸,A
358,誰在故事中曾經是木葉村的“暗部”隊員？,佩恩,大和,佐助,鳴人,B
359,哪位角色擁有“風遁·螺旋手裡劍”能力？,佐助,卡卡西,自來也,鳴人,D
360,誰是“木葉村”的第一代火影？,千手柱間,猿飛日斬,綱手,佐助,A
361,誰的能力包括使用“雷遁·雷切”？,佐助,鳴人,奇拉比,卡卡西,D
362,誰在故事中曾經使用“天照”？,宇智波鼬,佐助,鳴人,自來也,A
363,哪位角色的能力是“血繼限界”？,佐助,鳴人,自來也,井野,A
364,誰在故事中擔任木葉村的第五代火影？,綱手,佐助,卡卡西,自來也,A
365,哪位角色的能力包括使用“砂遁”？,自來也,鳴人,我愛羅,卡卡西,C
366,誰在第四次忍界大戰中使用了“九尾”的力量？,鳴人,佐助,奇拉比,佩恩,A
367,誰曾經是“音忍四人眾”的成員之一？,香燐,佐助,自來也,鳴人,A
368,哪位角色擁有“白眼”？,日向寧次,佐井,井野,鳴人,A
369,誰在故事中使用了“千手”能力？,千手柱間,佐助,卡卡西,鳴人,A
370,誰在故事中曾經使用“地爆天星”？,佩恩,佐助,自來也,鳴人,A
371,哪位角色的能力是“木遁”？,佐助,卡卡西,千手柱間,大蛇丸,C
372,誰曾經是木葉村的“根”組織的創始者？,団藏,自來也,佐助,佩恩,A
373,哪位角色的能力包括使用“陰陽遁”？,佩恩,自來也,宇智波斑,佐助,C
374,誰在第四次忍界大戰中擔任“九尾”的宿主？,鳴人,佐助,奇拉比,自來也,A
375,哪位角色擁有“寫輪眼”？,宇智波鼬,佐助,鳴人,自來也,A
376,誰的能力包括使用“螺旋手裡劍”？,鳴人,佐助,自來也,大蛇丸,A
377,哪位角色的能力包括使用“火遁·火龍彈”？,佐助,自來也,鳴人,卡卡西,B
378,誰是木葉村的第七班的導師？,佐助,大蛇丸,卡卡西,綱手,C
379,誰在故事中使用了“砂遁·沙瀑”？,我愛羅,佐助,鳴人,卡卡西,A
380,哪位角色擁有“風遁·螺旋手裡劍”能力？,佐助,自來也,卡卡西,鳴人,D
381,誰在故事中曾經使用“雷遁·雷切”？,卡卡西,佐助,鳴人,奇拉比,A
382,哪位角色的能力是“千鳥”？,鳴人,佐助,自來也,卡卡西,D
383,誰在故事中曾經使用了“木遁”？,千手柱間,佐助,鳴人,自來也,A
384,誰的能力包括使用“陰陽遁”？,佩恩,宇智波斑,佐助,鳴人,B
385,哪位角色在故事中最早使用了“輪回眼”？,宇智波斑,佩恩,佐助,鳴人,A
386,誰在故事中擔任木葉村的第七班導師？,佐助,鳴人,自來也,卡卡西,D
387,哪位角色的能力包括使用“千手”？,鳴人,佐助,卡卡西,千手柱間,D
388,誰在故事中使用了“雷遁·雷切”？,佐助,奇拉比,鳴人,卡卡西,D
389,誰是木葉村的第四代火影？,波風湊,綱手,千手柱間,自來也,A
390,誰是木葉村的第三代火影？,猿飛日斬,千手柱間,佐助,自來也,A
391,哪位角色擅長使用“寫輪眼”？,宇智波鼬,卡卡西,佐助,自來也,A
392,誰曾經使用“千鳥”？,佐助,鳴人,奇拉比,卡卡西,D
393,哪位角色的能力是“木遁·木龍”？,佐助,千手柱間,自來也,卡卡西,B
394,誰在故事中最早使用了“地爆天星”？,佩恩,自來也,佐助,大蛇丸,A
395,誰擁有“血繼限界”？,佐助,鳴人,自來也,井野,A
396,誰在第四次忍界大戰中使用了“九尾”力量？,佐助,鳴人,奇拉比,佩恩,B
397,誰在故事中使用了“砂遁·沙瀑”？,我愛羅,佐助,鳴人,卡卡西,A
398,誰是木葉村的第七班的成員之一？,佐助,鳴人,卡卡西,自來也,A
399,哪位角色的能力包括使用“天照”？,宇智波鼬,佐助,佩恩,鳴人,A
400,誰在故事中曾經使用“木遁·木龍”？,千手柱間,佐助,鳴人,卡卡西,A
401,哪位角色的能力包括使用“雷遁·雷切”？,佐助,奇拉比,鳴人,卡卡西,D
402,誰是木葉村的第四代火影？,波風湊,綱手,千手柱間,自來也,A
403,哪位角色擅長使用“砂遁”？,鳴人,佐助,我愛羅,自來也,C
404,誰曾經使用過“火遁·火龍彈”？,鳴人,佐助,自來也,卡卡西,C
405,哪位角色擁有“白眼”？,日向寧次,鳴人,井野,佐助,A
406,誰在第四次忍界大戰中與鳴人合作？,佐助,綱手,自來也,大蛇丸,A
407,誰在故事中擔任木葉村的第七班導師？,佐助,自來也,大蛇丸,卡卡西,D
408,哪位角色的能力包括使用“血繼限界”？,佐助,鳴人,自來也,井野,A
409,誰在故事中曾經使用過“陰陽遁”？,佩恩,宇智波斑,佐助,鳴人,B
410,誰在故事中擔任木葉村的第五代火影？,綱手,佐助,自來也,卡卡西,A
411,誰的能力包括使用“木遁·木龍”？,千手柱間,佐助,鳴人,自來也,A
412,哪位角色的能力是“千鳥”？,卡卡西,佐助,鳴人,自來也,A
413,誰在第四次忍界大戰中變成了“九尾”的宿主？,佐助,鳴人,奇拉比,自來也,B
414,哪位角色擁有“輪回眼”？,佩恩,宇智波斑,佐助,鳴人,A
415,誰在故事中曾經使用過“雷遁·雷切”？,佐助,奇拉比,鳴人,卡卡西,D
416,誰擁有“寫輪眼”？,宇智波鼬,佐助,鳴人,自來也,A
417,哪位角色在故事中最早使用了“輪回眼”？,佩恩,宇智波斑,佐助,鳴人,B
418,誰的能力包括使用“砂遁·沙瀑”？,我愛羅,佐助,鳴人,卡卡西,A
419,誰在故事中擔任木葉村的第七班導師？,佐助,大蛇丸,鳴人,卡卡西,D
420,誰是宇智波斑的最初夥伴？,鳴人,佐助,千手柱間,大蛇丸,C
421,什麼技術能夠讓使用者短時間內快速修復任何傷口？,極度再生,瞬身術,自癒能力,秘術·靈氣再生,A
422,哪位角色擁有“無限月讀”能力？,宇智波鼬,宇智波斑,佩恩,鳴人,B
423,“八門遁甲”的第八門“死亡之門”是由誰首次使用的？,夕日紅,綱手,李洛克,迈特·凯,D
424,誰能夠使用“冥界剝奪”技術？,佩恩,大蛇丸,佐助,自來也,B
425,佩恩的哪個屬性技術能夠操控“天使”？,地爆天星,天道,修羅道,餓鬼道,B
426,哪位角色在“宇智波家族屠殺”事件中存活下來？,佐助,宇智波鼬,宇智波斑,宇智波紗羅,B
427,哪位角色是木葉村的創始人之一，被稱為“火之意志”的象徵？,千手柱間,波風湊,猿飛日斬,佐助,A
428,“真實化的寫輪眼”是由誰開發的？,宇智波斑,宇智波鼬,佐助,自來也,A
429,哪個角色在“佐助·日向”事件中使出“月讀”？,佩恩,宇智波斑,宇智波鼬,佐助,C
430,誰擁有與“雷遁·雷切”相對應的“雷遁·雷光”？,卡卡西,奇拉比,佐助,自來也,B
431,“終焉之盡”是哪位角色的能力？,佩恩,大蛇丸,宇智波斑,佐助,C
432,哪位角色擁有“氣遁·風遁”的能力？,佐助,鳴人,自來也,卡卡西,B
433,在第四次忍界大戰中，哪位角色的遺體被復活為“六道佩恩”？,佩恩,宇智波斑,大蛇丸,猿飛日斬,A
434,誰在木葉村的歷史上使用了“血繼界限”中的“神羅天征”？,佩恩,大蛇丸,自來也,佐助,A
435,哪位角色在故事中使用了“千年殺”技術？,鳴人,佐助,卡卡西,自來也,A
436,誰的“寫輪眼”能夠預見對方的下一個動作？,宇智波鼬,宇智波斑,佐助,自來也,A
437,哪位角色在“宇智波斑”的影響下覺醒了“輪回眼”？,佐助,鳴人,宇智波斑,佩恩,A
438,“忍者聯盟”是由哪些角色組成的？,木葉村的忍者,沙忍、草忍等村的忍者,鳴人、佐助、自來也等,佐助、佩恩、大蛇丸等,B
439,誰在第四次忍界大戰中使用了“九尾模式”？,鳴人,佐助,奇拉比,佩恩,A
440,哪位角色的“眼睛”擁有三種不同的能力，分別是“天道”、“修羅道”和“餓鬼道”？,佩恩,宇智波斑,佐助,自來也,A
441,宇智波鼬在死亡之前，留下了什麼關於“真正的輪回”給佐助？,一個封印,一個關於如何達成輪回的秘密,一個關於家族的遺產,一本暗殺指南,B
442,什麼技術能夠將“禁術·輪迴天生”施展到目標的內部？,幻術,真實化技術,龍捲風,影分身,B
443,哪位角色能夠使用“八門遁甲”中的所有八個門？,李洛克,迈特·凯,佐助,卡卡西,B
444,哪位角色在故事中有“無限月讀”的能力？,宇智波斑,佩恩,大蛇丸,自來也,A
445,“八卦·空間遷移”是由哪位角色創造的？,日向寧次,佐助,大蛇丸,卡卡西,A
446,在第四次忍界大戰中，哪位角色成為了“六道仙人”？,鳴人,佐助,宇智波斑,佩恩,A
447,誰的“仙人模式”能夠提高忍術的強度並增強五感？,自來也,鳴人,佐助,大蛇丸,A
448,“地爆天星”是由誰的力量進行的？,佩恩,佩恩的天道,宇智波斑,佐助,B
449,哪位角色使用了“神羅天征”技術來抵擋敵人？,佩恩,宇智波鼬,鳴人,佐助,A
450,哪位角色在第四次忍界大戰中復活了“真實的六道仙人”？,佩恩,宇智波斑,佐助,鳴人,B
451,“輪迴眼”能夠從哪些能力中進行選擇？,八卦·空間遷移,天道、修羅道、餓鬼道、地獄道、畜生道,木遁·木龍,風遁·螺旋手裡劍,B
452,誰在故事中首次展示了“龍捲風”的能力？,佐助,鳴人,奇拉比,大蛇丸,C
453,誰在第四次忍界大戰中使用了“九尾”力量的“完整模式”？,鳴人,佐助,奇拉比,佩恩,A
454,哪位角色能夠使用“陰陽遁·屍體轉移”？,大蛇丸,自來也,卡卡西,佐助,A
455,誰在故事中使用了“禁術·輪回天生”？,佩恩,佐助,自來也,大蛇丸,A
456,“白眼”中的“百里視野”能夠探測到什麼？,虛空中的物體,隱藏的敵人,鳴人的行蹤,隱藏的查克拉,B
457,哪位角色能夠使用“幽靈技術”來進行穿透攻擊？,鳴人,自來也,佐助,大蛇丸,D
458,誰在故事中使用了“千手”的所有力量？,千手柱間,佐助,佩恩,鳴人,A
459,“天照”能夠對敵人造成什麼影響？,永久燃燒,影響敵人的精神,創造幻象,轉移查克拉,A
460,誰的能力能夠使用“心臟爆破”來摧毀目標？,佩恩,大蛇丸,自來也,佐助,B
461,“神羅天征”技術的效果是什麼？,強力的吸引力,強力的排斥力,創造幻象,傳送物體,B
462,哪位角色在“木葉村的叛亂”中使用了“流星”技術？,宇智波斑,佩恩,佐助,鳴人,B
463,誰能夠施展“隱秘的影子”技術來控制影子？,卡卡西,佐助,井野,自來也,C
464,在第四次忍界大戰中，哪位角色使用了“九尾”化身的“完全模式”？,鳴人,佩恩,佐助,奇拉比,A
465,哪位角色的能力能夠在短時間內創造出“神羅天征”？,佩恩,自來也,大蛇丸,鳴人,A
466,“六道仙人”的真正身份是誰？,宇智波斑,千手柱間,大蛇丸,佐助,B
467,誰的技術能夠使用“木遁·木龍”？,千手柱間,宇智波鼬,鳴人,自來也,A
468,哪位角色能夠使用“冥界剝奪”來進行靈魂交換？,佩恩,大蛇丸,佐助,井野,B
469,誰的能力包括使用“火遁·火龍彈”？,卡卡西,佐助,鳴人,自來也,A
470,哪位角色擁有“月讀”的能力？,宇智波鼬,佩恩,自來也,鳴人,A
471,誰的技術可以使“九尾”變得更強大？,佩恩,佐助,鳴人,自來也,C
472,誰在故事中能夠使用“仙人模式”來增強力量？,自來也,佩恩,大蛇丸,佐助,A
473,“地爆天星”技術能夠造成什麼效果？,創造幻象,垂直吸引力,強力的地震波,巨大的爆炸,D
474,哪位角色在故事中使用了“雷遁·雷遁波”？,佐助,奇拉比,鳴人,卡卡西,B
475,誰在第四次忍界大戰中展示了“八門遁甲”的第八門？,迈特·凯,佐助,自來也,鳴人,A
476,“月讀”技術能夠使目標進入什麼狀態？,噩夢,短暫昏迷,幻想世界,直接死亡,C
477,哪位角色能夠使用“風遁·螺旋手裡劍”？,鳴人,佐助,自來也,卡卡西,A
478,誰在第四次忍界大戰中將“九尾”力量完全掌握？,鳴人,佐助,奇拉比,佩恩,A
479,哪位角色在故事中擁有“寫輪眼”的最強形態？,宇智波斑,佐助,宇智波鼬,佩恩,A
480,“靈魂束縛”技術的使用者是誰？,大蛇丸,佩恩,卡卡西,自來也,A
481,在故事中，誰能夠使用“水遁·千年殺”？,鳴人,佩恩,大蛇丸,佐助,C
482,“六道仙人”在過去的時代中，創造了哪種技術來對抗十尾？,仙人模式,輪迴眼,八卦封印,陰陽遁,C
483,哪位角色在第四次忍界大戰中被稱為“巨人”？,奇拉比,鳴人,佐助,佩恩,A
484,誰的能力能夠進行“永恆月讀”的施展？,宇智波斑,佩恩,鳴人,佐助,A
485,哪位角色能夠使用“神羅天征”來抵擋大規模攻擊？,佩恩,宇智波斑,自來也,佐助,A
486,“月讀”技術能夠使目標進入什麼狀態？,深度夢境,直接死亡,幻影空間,短暫麻痺,A
487,誰在第四次忍界大戰中使用了“真實化的九尾模式”？,鳴人,佩恩,佐助,自來也,A
488,“禁術·輪回天生”的施展者能夠控制什麼？,生命與死亡,天氣變化,環境變化,物理力量,A
489,哪位角色的能力包括“火遁·火龍彈”？,佐助,鳴人,卡卡西,大蛇丸,C
490,誰的能力能夠進行“魂力轉移”？,大蛇丸,佩恩,自來也,佐助,A
491,“八卦·空間遷移”技術是由誰發明的？,日向寧次,宇智波斑,鳴人,卡卡西,A
492,哪位角色的“寫輪眼”擁有特殊的“神羅天征”能力？,宇智波斑,宇智波鼬,佐助,佩恩,D
493,在故事中，誰能夠使用“冥界剝奪”技術來控制靈魂？,大蛇丸,自來也,佐助,卡卡西,A
494,誰在故事中首次展示了“無限月讀”？,宇智波斑,佩恩,鳴人,佐助,A
495,“禁術·輪回天生”能夠影響哪些方面？,物理世界,精神狀態,靈魂與生命,環境條件,C
496,哪位角色能夠使用“靈魂束縛”來束縛目標？,佩恩,大蛇丸,佐助,鳴人,B
497,“火遁·螺旋手裡劍”是由誰發明的？,佐助,大蛇丸,鳴人,卡卡西,C
498,誰能夠使用“風遁·雷遁”技術來進行強力攻擊？,奇拉比,佐助,自來也,佩恩,A
499,哪位角色擁有“仙人模式”的特殊能力？,自來也,鳴人,大蛇丸,佐助,A
500,哪位角色的“寫輪眼”具有“天照”技術？,宇智波斑,佩恩,宇智波鼬,自來也,C
501,“月讀”技術能夠讓目標進入什麼樣的狀態？,死亡狀態,夢境,短暫昏迷,幻想世界,D
502,哪位角色在“九尾襲擊”事件中使用了“八卦·封印”？,千手柱間,佐助,自來也,佩恩,A
503,“神羅天征”技術的主要效果是什麼？,吸引物體,發射火焰,排斥物體,創造幻象,C
504,在第四次忍界大戰中，誰使用了“九尾模式”的“完全化身”？,鳴人,佩恩,奇拉比,佐助,A
505,哪位角色使用了“地爆天星”來進行大範圍攻擊？,佩恩,大蛇丸,佐助,自來也,A
506,“寫輪眼”中的“永恆輪回”是由誰創造的？,宇智波斑,佩恩,鳴人,佐助,A
507,“八卦·空間遷移”是由哪位角色發明的？,日向寧次,佐助,大蛇丸,自來也,A
508,誰在故事中首次展示了“神羅天征”？,佩恩,佐助,宇智波斑,自來也,A
509,“輪迴眼”技術中的“修羅道”能夠提供什麼功能？,攻擊和防禦,強化身體,支配和控制,創造幻影,A
510,哪位角色能夠使用“雷遁·雷光”技術？,鳴人,奇拉比,佐助,自來也,B
511,誰能夠使用“隱秘的影子”來進行暗殺？,井野,鳴人,佩恩,大蛇丸,A
512,哪位角色在第四次忍界大戰中掌握了“九尾”力量？,佐助,奇拉比,佩恩,鳴人,D
513,“千年殺”技術的創造者是誰？,大蛇丸,佩恩,鳴人,自來也,C
514,誰在故事中使用了“天道”的技術？,佩恩,宇智波斑,佐助,自來也,A
515,“風遁·螺旋手裡劍”的技術創造者是誰？,鳴人,卡卡西,佐助,自來也,A
516,誰的能力包括使用“八門遁甲”來增強戰鬥能力？,迈特·凯,佩恩,佐助,奇拉比,A
517,“輪回眼”的“天道”能夠進行什麼操作？,攻擊和防禦,精神控制,創造幻影,生命控制,A
518,哪位角色的“仙人模式”能夠提高五感和力量？,自來也,鳴人,佐助,大蛇丸,A
519,誰在故事中使用了“神羅天征”來抵擋攻擊？,佩恩,宇智波斑,佐助,自來也,A
520,誰在故事中使用了“仙人模式”中的“增幅體能”？,佐助,自來也,佩恩,大蛇丸,B
521,“無限月讀”是由哪位角色創造的？,宇智波斑,佩恩,自來也,佐助,A
522,哪位角色在第四次忍界大戰中擁有“八卦·空間遷移”技術？,日向寧次,佐助,自來也,鳴人,A
523,誰的“寫輪眼”能力能夠使用“天照”？,宇智波鼬,佩恩,鳴人,自來也,A
524,“輪迴眼”的“修羅道”主要功能是什麼？,攻擊和防禦,控制和強化,支配和創造,影響生命和死亡,A
525,誰的技術包括“地爆天星”的施展？,佩恩,佐助,宇智波斑,自來也,A
526,在故事中，誰能夠使用“九尾模式”的“完全化身”？,奇拉比,佐助,鳴人,佩恩,C
527,哪位角色在“木葉村的叛亂”中使用了“流星”？,佩恩,自來也,佐助,大蛇丸,A
528,“禁術·輪回天生”的主要功能是什麼？,增強查克拉,創造幻影,影響生命與死亡,操控時間,C
529,哪位角色的“輪迴眼”可以進行“千年殺”？,鳴人,佐助,自來也,大蛇丸,D
530,“八門遁甲”的第八門是什麼？,死門,開門,生門,閉門,A
531,誰在故事中使用了“神羅天征”來對抗強大攻擊？,佩恩,宇智波斑,佐助,自來也,A
532,哪位角色的“仙人模式”能夠增強五感？,自來也,鳴人,佐助,大蛇丸,A
533,“靈魂束縛”技術的主要用途是什麼？,攻擊敵人,轉移靈魂,繼承能力,幻想空間,B
534,誰在第四次忍界大戰中使用了“九尾模式”的力量？,鳴人,佩恩,佐助,奇拉比,A
535,“雷遁·雷光”技術的創造者是誰？,佐助,自來也,奇拉比,鳴人,C
536,誰在故事中使用了“無限月讀”來創造虛幻世界？,宇智波斑,佩恩,佐助,大蛇丸,A
537,“八卦·空間遷移”技術的發明者是誰？,日向寧次,鳴人,自來也,佐助,A
538,哪位角色在故事中展示了“仙人模式”中的“增幅體能”？,自來也,鳴人,佐助,大蛇丸,A
539,誰能夠使用“月讀”來進行深度幻想？,宇智波鼬,佩恩,佐助,自來也,A
540,誰是使用“輪迴眼”的“餓鬼道”？,宇智波斑,佩恩,佐助,自來也,B
541,誰的“寫輪眼”擁有“須佐能乎”？,宇智波鼬,宇智波斑,佐助,大蛇丸,C
542,“地爆天星”技術的主要效果是什麼？,創造大爆炸,召喚幻影,強力吸引,強力排斥,A
543,誰的能力能夠使用“閃光彈”？,佐助,奇拉比,自來也,佩恩,B
544,“仙人模式”的主要特徵是什麼？,增強查克拉,提高五感,創造幻影,改變天氣,B
545,哪位角色使用“千手法印”來進行大規模攻擊？,自來也,佐助,鳴人,千手柱間,D
546,誰在故事中創造了“輪迴眼”的“人道”？,佩恩,宇智波斑,佐助,鳴人,A
547,“八門遁甲”技術的第七門是什麼？,開門,死門,生門,閉門,C
548,哪位角色擁有“寫輪眼”的“瞳術·月讀”？,宇智波斑,宇智波鼬,佩恩,佐助,B
549,“雷遁·雷遁波”技術由誰使用？,佐助,奇拉比,鳴人,自來也,B
550,誰使用了“禁術·輪回天生”來影響生命與死亡？,大蛇丸,佩恩,宇智波斑,佐助,B
551,“仙人模式”可以讓角色具備什麼能力？,增強力量和敏捷,創造幻影,強化查克拉,改變時間,A
552,“天照”技術的主要效果是什麼？,火焰攻擊,冰霜攻擊,物理攻擊,精神控制,A
553,誰在第四次忍界大戰中使用了“九尾模式”的“完全化身”？,佐助,鳴人,奇拉比,自來也,B
554,“木遁·木龍”技術由誰使用？,千手柱間,佐助,鳴人,自來也,A
555,“輪回眼”的“天道”能夠進行什麼操作？,控制靈魂,強化攻擊,創造幻影,改變環境,B
556,誰在故事中擁有“仙人模式”中的“增幅查克拉”？,自來也,鳴人,佐助,大蛇丸,B
557,“神羅天征”技術的創造者是誰？,佩恩,宇智波斑,佐助,自來也,A
558,誰在故事中展示了“神羅天征”來阻擋攻擊？,佩恩,大蛇丸,佐助,鳴人,A
559,“禁術·輪回天生”技術能夠對抗什麼？,物理攻擊,精神攻擊,生命與死亡,天氣變化,C
560,誰能夠使用“千年殺”技術來進行暗殺？,鳴人,佐助,大蛇丸,自來也,C
561,“寫輪眼”中的“須佐能乎”能夠提供什麼樣的保護？,物理防護,火焰防護,冰霜防護,精神防護,A
562,誰在故事中首次使用了“神羅天征”來對抗敵人？,佩恩,宇智波斑,鳴人,佐助,A
563,“天照”技術能夠創造什麼效果？,無法熄滅的火焰,強力雷擊,冰霜攻擊,精神干擾,A
564,“輪迴眼”的“修羅道”能夠操控什麼？,能量,物質,技能,武器,B
565,“八卦·空間遷移”技術由誰發明？,日向寧次,鳴人,佩恩,大蛇丸,A
566,哪位角色使用了“禁術·輪回天生”來操控生命與死亡？,宇智波斑,佩恩,佐助,大蛇丸,B
567,誰的能力包括“仙人模式”中的“查克拉增幅”？,自來也,鳴人,佐助,大蛇丸,B
568,“神羅天征”技術的主要效果是什麼？,排斥物體,吸引物體,創造幻影,發射雷電,A
569,誰能夠使用“雷遁·雷光”技術？,奇拉比,鳴人,佐助,大蛇丸,A
570,誰在第四次忍界大戰中使用了“九尾模式”的“完全化身”？,佐助,鳴人,奇拉比,自來也,B
571,哪位角色擁有“寫輪眼”的“月讀”？,宇智波鼬,佩恩,佐助,大蛇丸,A
572,誰能夠使用“仙人模式”中的“強化體能”？,自來也,鳴人,佐助,大蛇丸,A
573,“輪迴眼”中的“天道”技術能夠進行什麼操作？,增強攻擊,控制靈魂,創造幻影,強化防禦,A
574,哪位角色擁有“仙人模式”的“增幅查克拉”？,自來也,鳴人,佐助,大蛇丸,B
575,“地爆天星”技術由誰施展？,佩恩,佐助,宇智波斑,大蛇丸,A
576,誰在第四次忍界大戰中展示了“九尾模式”？,鳴人,佩恩,佐助,奇拉比,A
577,“木遁·木龍”技術由誰使用？,千手柱間,鳴人,佐助,自來也,A
578,“八門遁甲”技術的第六門是什麼？,開門,死門,生門,關門,D
579,“寫輪眼”中的“須佐能乎”技術提供什麼樣的防護？,火焰防護,物理防護,冰霜防護,精神防護,B
580,誰是使用“輪回眼”中的“天道”來進行強力攻擊？,佩恩,自來也,佐助,宇智波斑,A
581,“天照”技術主要由哪位角色使用？,宇智波鼬,佩恩,佐助,大蛇丸,A
582,“八卦·空間遷移”技術是由哪位角色創造的？,日向寧次,鳴人,自來也,佐助,A
583,誰在第四次忍界大戰中展示了“九尾模式”的“完全化身”？,鳴人,佐助,奇拉比,自來也,A
584,“木遁·木龍”技術的使用者是誰？,千手柱間,佐助,鳴人,大蛇丸,A
585,哪位角色擁有“寫輪眼”的“月讀”？,宇智波鼬,佩恩,自來也,佐助,A
586,“仙人模式”能夠提高角色的什麼能力？,攻擊與防禦,速度與力量,查克拉與五感,精神控制,C
587,誰在故事中使用了“地爆天星”技術？,佩恩,鳴人,佐助,大蛇丸,A
